Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
2726,4724;10076;11792,1935;34;-987,-0.03196852;0.329278;1.311716,-0.04159302;0.1083264;1.380072,0.1306925;0.09170552;1.360654,0.2342833;0.0113623;1.130352,0.2206567;0.006950734;0.8704502,0.2174128;0.0005242774;0.837494,-0.007402962;-0.3662997;1.439066,0
2760,4488;10572;11376,1503;-678;-646,-0.03194321;0.3292997;1.311757,-0.04112685;0.1080383;1.380299,0.1320907;0.08939263;1.360248,0.2379232;0.0002975414;1.134293,0.2196585;-0.02018369;0.8754464,0.2144681;-0.02974586;0.8394331,-0.007561781;-0.3674921;1.439107,0
2795,4724;10288;11396,883;-693;-638,-0.03191772;0.3293162;1.311752,-0.04062698;0.1076957;1.380314,0.1343069;0.08620496;1.359327,0.239343;-0.007397259;1.134851,0.2168703;-0.05089746;0.8791746,0.2121779;-0.06252305;0.841726,-0.007878401;-0.3686257;1.439077,0
2828,4792;10412;11620,278;-1141;-113,-0.03178395;0.3292889;1.311657,-0.04004636;0.107283;1.380085,0.1384421;0.08180984;1.357096,0.2557242;-0.04303573;1.26378,0.2294602;-0.09929465;1.011006,0.2099941;-0.09269121;0.84626,-0.008371954;-0.3702033;1.438559,0
2862,4860;10380;11272,-204;-1093;294,-0.03150894;0.3292909;1.311682,-0.03951023;0.1069518;1.380039,0.1410377;0.07829315;1.356184,0.2457051;-0.06670106;1.161464,0.2190899;-0.1014881;0.9340509,0.2103903;-0.1200735;0.8533945,-0.008756909;-0.3714389;1.438701,0
2893,4820;10420;11660,-969;-1499;1253,-0.03093463;0.3291045;1.311327,-0.03891606;0.1064661;1.379595,0.1434457;0.07528193;1.354734,0.2497972;-0.06738772;1.264239,0.2275897;-0.1056506;1.007743,0.2094981;-0.1473182;0.8577048,-0.008823629;-0.372419;1.438302,0
2925,5088;10104;11644,-1884;-2212;2151,-0.03009727;0.3288372;1.310549,-0.03822446;0.1058488;1.378861,0.1453789;0.07206918;1.353151,0.2379614;-0.08550704;1.162206,0.2173424;-0.1509103;0.9267387,0.2096971;-0.1747012;0.8620732,-0.008626913;-0.3736196;1.437674,0
2962,5004;10144;12136,-2103;-2928;3609,-0.02955543;0.3287708;1.310399,-0.0376698;0.1055045;1.378739,0.1475324;0.06950983;1.353362,0.2564412;-0.08985441;1.284706,0.2341643;-0.1494772;1.062507,0.2105241;-0.1962819;0.8773791,-0.008719888;-0.3746774;1.437718,0
2994,5480;8604;12632,-1542;-3384;4630,-0.02861931;0.3286588;1.310158,-0.03689265;0.1050021;1.378482,0.1490637;0.06762637;1.353284,0.2417144;-0.1088434;1.180452,0.2181937;-0.1879758;0.9549301,0.2109448;-0.2192564;0.8835421,-0.008389787;-0.3762616;1.437637,0
3027,6556;9876;15700,3543;-4574;5780,-0.02751775;0.3283849;1.309442,-0.03612312;0.1044808;1.377806,0.151337;0.06434087;1.352378,0.2545727;-0.1030414;1.282737,0.2295341;-0.188479;1.038188,0.2107264;-0.2356068;0.8968716,-0.008264997;-0.3778883;1.437099,0
