Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
8397,328,-2172;16192;-4672,1247;-1219;-1647,0.03032289;0.07648534;1.252462,0.2069188;0.02744821;1.269234,0.2555902;-0.2029353;1.28553,0.2786324;-0.117174;1.098415,0.2623108;-0.1264679;1.03715,0.01990325;-0.43618;1.395818,1
8430,325,-1576;15648;-4468,912;-1260;-885,0.03029218;0.07655754;1.252656,0.2069075;0.02746172;1.269242,0.2548268;-0.1598704;1.306429,0.2779086;-0.1202834;1.104329,0.2601866;-0.128632;1.034534,0.01988521;-0.4360778;1.396093,1
8462,323,-1924;15792;-4328,1760;-918;-732,0.03030855;0.07657655;1.252653,0.2069015;0.02748661;1.269228,0.2546357;-0.1599209;1.306335,0.2779084;-0.1202409;1.104276,0.2594422;-0.1280294;1.032703,0.01992416;-0.4360256;1.396105,1
8496,319,-1472;15416;-4104,584;-760;-943,0.03031623;0.07658013;1.252647,0.2068778;0.02753005;1.269192,0.2545325;-0.1599826;1.306025,0.2779702;-0.1200471;1.104037,0.2589158;-0.1288686;1.032851,0.01987568;-0.43597;1.395996,1
8532,316,-1580;15688;-3980,97;-888;-1423,0.03032346;0.07660149;1.252668,0.2068845;0.02754604;1.269201,0.2541762;-0.160036;1.306131,0.2780553;-0.1199348;1.104229,0.258068;-0.1295606;1.031208,0.01987737;-0.4359046;1.396047,1
8566,314,-1868;15760;-4168,88;-1521;-1178,0.03037683;0.07658435;1.25232,0.2068623;0.02760226;1.269108,0.2540556;-0.1600419;1.305923,0.2780553;-0.1197543;1.104073,0.2584575;-0.1279132;1.029603,0.01966891;-0.4359904;1.39561,1
8596,312,-1808;15532;-4196,993;-1660;-595,0.03039807;0.07659507;1.25239,0.2068509;0.02762388;1.269109,0.2538969;-0.1599993;1.306126,0.2781261;-0.1197291;1.104301,0.2577009;-0.1298957;1.0304,0.01954987;-0.4359181;1.395613,1
8631,312,-1668;15432;-4136,1470;-677;-307,0.03042406;0.07659271;1.252318,0.2068444;0.02764669;1.269085,0.2588841;-0.2003268;1.275752,0.2800712;-0.112291;1.089477,0.2586189;-0.1267653;1.030545,0.01950603;-0.435863;1.395553,1
8663,310,-1700;15436;-3964,872;-669;-469,0.03040711;0.07660317;1.252249,0.2068254;0.02767465;1.269038,0.2589164;-0.2003708;1.275673,0.2799966;-0.1122052;1.089448,0.2598681;-0.1255393;1.031918,0.01949147;-0.4358111;1.395477,1
8696,310,-1140;14996;-3992,1547;-819;-530,0.0304223;0.07661238;1.252177,0.2068122;0.02771611;1.269011,0.2589165;-0.2003726;1.275673,0.2798342;-0.112386;1.089343,0.2596041;-0.1261155;1.031765,0.01943805;-0.4359314;1.395299,1
8731,310,-1296;15500;-4096,1346;-844;-1110,0.0304176;0.07664824;1.252184,0.2068113;0.02776682;1.269,0.2492672;-0.1598412;1.310748,0.2780729;-0.1194304;1.103639,0.2591328;-0.128604;1.031447,0.01951769;-0.4358306;1.395325,1
8765,310,-1132;15212;-4444,1321;-885;-1338,0.03043382;0.07673811;1.252394,0.2068036;0.02779872;1.269018,0.2496898;-0.1595428;1.310348,0.2782807;-0.1193663;1.103991,0.2591454;-0.1281929;1.031908,0.01964209;-0.4357439;1.395511,1
8798,309,-1556;15808;-4224,1227;58;-1511,0.03045532;0.07677875;1.25249,0.2068085;0.02783139;1.269052,0.2501301;-0.1594866;1.310124,0.2781469;-0.1195318;1.105131,0.2589013;-0.1284218;1.032839,0.01973146;-0.4356782;1.395689,1
8829,310,-1904;15768;-4012,465;-85;-1323,0.03047238;0.07681611;1.252523,0.2068093;0.02785549;1.269054,0.250706;-0.1596794;1.309007,0.2781579;-0.1195076;1.105247,0.2589885;-0.1274758;1.032368,0.01974997;-0.4355956;1.395782,1
8863,309,-1824;15668;-3860,1655;-255;-489,0.030498;0.07685881;1.252692,0.2068284;0.02795438;1.269105,0.2508993;-0.1595357;1.309064,0.2781506;-0.119505;1.105282,0.2588463;-0.1288513;1.033719,0.01981884;-0.4355248;1.395963,1
8895,309,-1868;15688;-4068,1342;-648;-436,0.0305668;0.07697727;1.253148,0.2068756;0.02806317;1.269259,0.251032;-0.1593697;1.309333,0.2782651;-0.1197651;1.106622,0.2590044;-0.1297718;1.034378,0.01986852;-0.4354284;1.396483,1
8930,309,-1664;15244;-4128,1429;-631;-668,0.03057058;0.07698243;1.253139,0.2068703;0.02807678;1.269248,0.2510276;-0.159357;1.309319,0.2783976;-0.1197269;1.106407,0.2588289;-0.1286065;1.03223,0.01994026;-0.4354295;1.396474,1
8964,309,-1612;15252;-3936,1408;-65;-1030,0.03057351;0.07699357;1.253127,0.2068536;0.02810153;1.269234,0.2510603;-0.1593583;1.309186,0.2784602;-0.1197516;1.106411,0.2582304;-0.1294;1.031913,0.01997671;-0.4354182;1.396458,1
8998,309,-1716;15580;-3748,662;-555;-1408,0.03057853;0.07702537;1.252872,0.2068223;0.02813431;1.269143,0.2508393;-0.1593713;1.309104,0.2784274;-0.119725;1.106249,0.2574959;-0.1297935;1.028915,0.01992532;-0.4353662;1.396242,1
9033,308,-1652;15516;-4136,1248;-797;-1164,0.03058515;0.07703041;1.25288,0.206819;0.02815489;1.269143,0.2507514;-0.1593872;1.309058,0.2785742;-0.119792;1.106368,0.2579497;-0.1301771;1.031449,0.01994391;-0.4353602;1.396245,1
9063,309,-1620;15632;-4212,1446;-812;-878,0.03058106;0.07707206;1.252933,0.2068383;0.02823188;1.269184,0.2507361;-0.1592624;1.30928,0.2786001;-0.1197632;1.106406,0.2575335;-0.129609;1.031414,0.02003478;-0.4353382;1.396286,1
9096,309,-1388;15552;-4216,1277;-844;-785,0.03057856;0.07711162;1.252802,0.2068427;0.02823658;1.269177,0.250407;-0.1593355;1.309291,0.2786357;-0.1197229;1.106376,0.2574675;-0.1287816;1.030204,0.01978571;-0.4353949;1.396029,1
9131,308,-1484;15524;-4284,1365;-364;-826,0.03057251;0.07722437;1.253095,0.2068357;0.02826064;1.269297,0.2503354;-0.159268;1.309598,0.2788432;-0.1196402;1.106758,0.2573368;-0.1303505;1.033843,0.01996111;-0.4353016;1.396544,1
9162,309,-1448;15528;-4188,1077;-271;-922,0.03057726;0.07731249;1.253228,0.2068346;0.02827003;1.269313,0.2502786;-0.1592386;1.30972,0.2788441;-0.1195918;1.10683,0.2568774;-0.1302663;1.033321,0.02010899;-0.4352303;1.396749,1
9197,310,-1640;15580;-4280,1037;-274;-978,0.03059343;0.07732721;1.253232,0.2068385;0.02828875;1.26932,0.2501708;-0.1592291;1.309785,0.2786568;-0.1194402;1.106659,0.2566448;-0.1299819;1.031343,0.02014358;-0.4352284;1.396747,1
9232,309,-1568;15448;-4148,1239;-245;-950,0.03060705;0.07734049;1.253214,0.2068402;0.02829122;1.269323,0.2501178;-0.1592672;1.309704,0.2787145;-0.1193562;1.106607,0.2558469;-0.1308174;1.029691,0.02007716;-0.4351389;1.396689,1
9265,309,-1448;15372;-4188,1419;223;-1048,0.03064275;0.07729933;1.252773,0.2068431;0.02825525;1.269262,0.2499772;-0.1595145;1.309091,0.2784813;-0.1189639;1.105568,0.2556412;-0.130452;1.02864,0.02000525;-0.435073;1.396199,1
9298,310,-1568;15652;-4080,1326;-553;-1198,0.03065285;0.07735866;1.25291,0.2068442;0.02826414;1.269279,0.2499325;-0.1594734;1.309245,0.2785192;-0.1189532;1.105744,0.2568721;-0.131402;1.032903,0.01997942;-0.4350275;1.396278,1
9331,311,-1472;15508;-4244,988;-311;-1114,0.03067654;0.07739465;1.252782,0.2068036;0.02825791;1.269219,0.2498338;-0.1594911;1.309195,0.2785184;-0.1189518;1.105742,0.2568207;-0.1297689;1.029927,0.02004284;-0.4349749;1.396086,1
9363,311,-1656;15684;-4564,1406;-81;-986,0.0306895;0.07740848;1.252827,0.2068008;0.02825758;1.269223,0.2494153;-0.1595465;1.309347,0.2785159;-0.1189456;1.105756,0.2568335;-0.1312338;1.03149,0.02008607;-0.4349716;1.396093,1
9397,312,-1540;15640;-4192,1412;-59;-790,0.03071654;0.07741503;1.252781,0.2067958;0.02827117;1.269213,0.2493983;-0.1595073;1.309427,0.2784291;-0.1189342;1.105641,0.2566318;-0.1290618;1.028301,0.02013331;-0.4349728;1.396024,1
9433,314,-1524;15180;-4040,1111;427;-1187,0.03072826;0.07740609;1.252747,0.2067942;0.02827715;1.269191,0.2612124;-0.2017204;1.272851,0.2806137;-0.1099182;1.08822,0.2577932;-0.1276259;1.031894,0.02024264;-0.4349126;1.395986,1
9463,315,-1880;15372;-4148,1138;-294;-1088,0.03079971;0.07747064;1.252996,0.2067841;0.02829664;1.269215,0.2481254;-0.1594556;1.314665,0.278561;-0.1190194;1.105958,0.2578947;-0.1301025;1.033761,0.02028788;-0.4349041;1.396087,2
9498,313,-1568;15432;-4076,1161;-776;-1112,0.03080552;0.07747394;1.253001,0.2067871;0.02832625;1.269226,0.2482254;-0.1589445;1.313623,0.2786161;-0.1190464;1.106024,0.2575177;-0.1306167;1.032207,0.0202903;-0.4348837;1.396101,2
9530,312,-1644;15672;-4116,828;-883;-1017,0.03080295;0.07749534;1.253012,0.2067855;0.02833826;1.269245,0.248259;-0.158945;1.313597,0.2786162;-0.1190536;1.106069,0.2574288;-0.1310046;1.03302,0.02030756;-0.4348667;1.396139,2
9563,311,-1784;15484;-4364,1002;-1147;-683,0.03080419;0.07749866;1.253006,0.2067813;0.02835125;1.269244,0.248493;-0.1586026;1.312624,0.278782;-0.1191406;1.106488,0.2577694;-0.1306045;1.031531,0.02025545;-0.4348221;1.396136,2
9596,310,-1704;15620;-3652,450;-2494;-206,0.03080683;0.07750658;1.252998,0.2067774;0.02837313;1.269242,0.2488024;-0.1586968;1.312054,0.278962;-0.1192191;1.106719,0.2578131;-0.1311707;1.031617,0.02029023;-0.4348065;1.396135,2
9630,309,-1360;15488;-3616,1776;-2050;-511,0.03083592;0.07756542;1.253144,0.2067715;0.02838925;1.269283,0.2490897;-0.1585972;1.312132,0.2791601;-0.1192585;1.106707,0.2577728;-0.1305126;1.034111,0.02043039;-0.4347728;1.396523,2
9664,308,-1852;15500;-4192,1099;-2545;-961,0.03088713;0.07756736;1.252863,0.2067386;0.02842294;1.269145,0.2490262;-0.1587989;1.311314,0.2791078;-0.1192876;1.106193,0.2569762;-0.1295319;1.027878,0.02047707;-0.4346471;1.396106,2
9696,307,-1668;15460;-4060,895;-2382;-724,0.0308883;0.07756976;1.252867,0.2067318;0.02842822;1.269138,0.2490172;-0.1588135;1.311249,0.2792145;-0.1193141;1.106162,0.257281;-0.1307784;1.030984,0.02045351;-0.4346368;1.396093,2
9729,308,-1832;15644;-4444,736;-894;427,0.03088673;0.07757214;1.252862,0.206719;0.02844088;1.269129,0.248943;-0.1588226;1.31122,0.2794267;-0.1192933;1.106333,0.2574309;-0.1309585;1.031957,0.02046632;-0.4346309;1.396084,2
9764,308,-1612;15436;-4304,1525;-1951;230,0.03088663;0.07757461;1.252858,0.2067198;0.02844829;1.269136,0.2490252;-0.1588245;1.311139,0.279441;-0.1192945;1.106317,0.257993;-0.1310759;1.031388,0.02039066;-0.4346078;1.396078,2
9795,308,-1480;15696;-4012,2255;-2620;694,0.03089593;0.07756084;1.252809,0.2067072;0.02846785;1.269126,0.2489467;-0.1588442;1.31106,0.2794506;-0.1192926;1.10632,0.25776;-0.1301304;1.029992,0.02019325;-0.434715;1.395898,2
9834,309,-1288;16280;-3972,1406;-4356;1673,0.03091395;0.07756858;1.252861,0.2066984;0.02847328;1.269126,0.2489641;-0.1588262;1.31108,0.2794424;-0.1192954;1.10635,0.258502;-0.1309737;1.032899,0.02025379;-0.4346963;1.395966,2
9863,309,-1080;15628;-3816,1079;-4614;1394,0.03091938;0.07756718;1.252872,0.2066987;0.02848645;1.269136,0.2490523;-0.158842;1.310936,0.2794604;-0.1192985;1.106381,0.2582615;-0.1306824;1.032395,0.02024906;-0.4346758;1.396026,2
9897,311,-824;15368;-3888,1203;-4772;963,0.03091822;0.07756595;1.252875,0.2066984;0.0284864;1.269136,0.2490571;-0.158841;1.310936,0.2794681;-0.1192948;1.106365,0.2569615;-0.1306627;1.030077,0.02021689;-0.4346723;1.396017,2
9929,312,-800;15284;-3596,-373;-4558;-453,0.03094248;0.07755563;1.252658,0.2066125;0.02844764;1.268996,0.2491436;-0.1589658;1.310407,0.2794912;-0.1193156;1.10621,0.2572932;-0.1302971;1.02886,0.0200986;-0.4346267;1.395854,2
