Time_Stamp,Flex,Accel,Gyro,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
4767,317,-4620;12420;8288,901;-280;-1026,-0.0776758;0.01655601;1.202305,0.08832983;-0.01491755;1.190663,0.1346222;-0.2022256;1.148578,0.09064549;-0.243848;0.902898,0.04333161;-0.255401;0.820773,-0.07820681;-0.4529802;1.262485,2
4803,317,-4408;12220;8488,690;-234;-1080,-0.07779612;0.01637674;1.20195,0.08832051;-0.01491141;1.190609,0.1345959;-0.2021009;1.148402,0.08976499;-0.2444056;0.902992,0.04407151;-0.2549354;0.8197167,-0.08089695;-0.4533438;1.261442,2
4836,317,-4840;12040;8720,539;-323;-1055,-0.07779066;0.01636319;1.201955,0.08831255;-0.01491546;1.190614,0.1345392;-0.2023788;1.148432,0.08959825;-0.2447226;0.9030495,0.04359339;-0.2554884;0.8209081,-0.08087532;-0.4533727;1.261443,2
4869,317,-4656;11892;8860,1002;-486;-964,-0.07797591;0.0162753;1.20204,0.08827674;-0.01496099;1.190626,0.134541;-0.2024353;1.148486,0.08934987;-0.24478;0.9031493,0.04324496;-0.2561856;0.8215587,-0.08164263;-0.4535922;1.261622,2
4903,318,-4768;11928;8644,1221;-429;-975,-0.07789181;0.01621444;1.201887,0.08824923;-0.01498398;1.190609,0.1345452;-0.2025017;1.148222,0.0892065;-0.2450371;0.9029462,0.04356444;-0.2554911;0.8211217,-0.08153556;-0.4535371;1.261553,2
4934,316,-4808;12144;8752,1240;-340;-1122,-0.07803188;0.01603292;1.20164,0.08823074;-0.01502212;1.190549,0.1343857;-0.2025762;1.148139,0.08853223;-0.245052;0.9029478,0.04367074;-0.2555758;0.8202469,-0.08240356;-0.4536339;1.261577,2
4969,317,-4892;12132;8444,1108;-333;-996,-0.0780263;0.01602996;1.201634,0.08821566;-0.01503892;1.190548,0.1345588;-0.2027866;1.147853,0.08853089;-0.2450486;0.902658,0.04335962;-0.255644;0.8198278,-0.08150381;-0.4536341;1.261369,2
5001,316,-4784;11980;8684,1167;-415;-857,-0.07802219;0.01601097;1.201632,0.08821245;-0.01504032;1.190541,0.1345692;-0.2028428;1.147817,0.08838779;-0.2454692;0.9027138,0.04355713;-0.2562853;0.8217931,-0.08155194;-0.4536569;1.261415,2
5037,317,-4760;12140;8668,1406;-396;-920,-0.07811283;0.01598714;1.201715,0.08821012;-0.01504144;1.190545,0.1345486;-0.2029996;1.147874,0.0881088;-0.2456291;0.9028205,0.04331782;-0.256539;0.8220115,-0.08138525;-0.4536755;1.261536,2
5071,317,-4812;12180;8668,1111;-432;-922,-0.07811695;0.01598628;1.201712,0.08818641;-0.01505963;1.190544,0.1346046;-0.203042;1.147911,0.08823366;-0.2456465;0.9028407,0.04344746;-0.2565263;0.8218554,-0.08112919;-0.4536796;1.26159,2
