Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,
6866,-14840,-3412,-2556,143.7230925,157.9767921,1
6898,-14756,-3528,-1224,142.2094103,157.8734813,1
6931,-14224,-2896,-789,142.2878216,157.7574578,1
6965,-14552,-2944,-1725,142.2781285,157.7323695,1
6998,-14780,-3276,-1577,142.3423628,157.8034024,1
7031,-14400,-3116,-1647,142.244151,157.9254219,1
7065,-14436,-3124,-1693,142.077354,157.9827217,1
7098,-14480,-3164,-1876,142.0518891,158.0026177,1
7131,-14516,-3532,-1527,142.1150579,158.0284448,1
7164,-14412,-3496,-1511,154.2310877,158.0331783,1
7198,-14516,-3520,-1028,143.8486474,158.0276333,1
7231,-14456,-3368,-1231,143.5489355,158.019141,1
7265,-14408,-3304,-1298,143.4039111,157.9928218,1
7300,-14472,-3568,-1519,143.3372574,157.9896653,2
7331,-14204,-3384,-1352,143.3513012,157.9850212,2
7364,-14432,-3552,-1519,143.5780319,157.9320536,2
7397,-14432,-3580,-1496,143.5681526,157.9398511,2
7431,-14288,-3544,-1345,143.5102697,158.0076172,2
7465,-14552,-3604,-1686,143.483552,158.0402725,2
7499,-14364,-3644,-1864,143.2741373,158.0377386,2
7531,-14468,-3840,-1657,142.8135909,158.3272249,2
7564,-14300,-3792,-1735,142.8212435,158.2866243,2
7598,-14372,-3928,-1358,142.7549333,158.286066,2
7630,-14484,-4080,-1189,156.8492554,158.259564,2
7664,-14312,-3916,-1117,143.1041655,158.1084665,2
7698,-14536,-3976,-1103,143.0606834,157.9245241,2
7731,-14364,-4020,-877,143.0679002,157.646852,2
7765,-14488,-3716,-892,142.4536801,157.0112417,2
7797,-14368,-3856,-1256,141.6928695,156.1239533,2
7831,-14396,-3956,-1833,140.7619013,155.0929205,2
7864,-14500,-4140,-1949,134.2352093,154.2914388,2
7897,-14212,-4096,-1885,135.0388036,151.6647583,2
7932,-14216,-4192,-1936,134.9679859,149.4678851,2
7966,-14068,-4136,-1780,135.8199092,146.7716936,2
7997,-14256,-4316,-1820,125.5053737,145.5584675,2
8030,-14428,-4312,-1403,135.4285225,140.1024173,2
8064,-14344,-4300,-1532,131.7381856,135.7351883,2
8097,-14384,-4596,-1238,132.5193431,130.0224894,2
8134,-14228,-4336,-808,129.0422362,127.0642491,2
8165,-13996,-4348,-540,128.5993489,123.7238435,2
8197,-14160,-4296,-1000,127.2678597,120.4667434,2
8231,-14548,-4408,-937,127.2773837,118.2835939,2
8264,-14348,-4052,-692,136.9790519,106.2254877,2
8297,-14040,-4280,-1940,140.1861569,103.8983747,2
8333,-14176,-4672,-898,140.863249,98.11347186,2
8366,-13956,-4392,-1045,139.9219996,96.21609588,2
8397,-14416,-4560,-1089,137.831141,92.22384614,2
8431,-14020,-4200,-1540,140.2877369,89.60318761,2
8464,-14488,-4584,-1420,140.5318951,86.58313591,2
8497,-14724,-5252,-1284,139.7244822,85.04292398,2
8531,-14940,-5148,679,139.1864451,83.34279166,2
8565,-13132,-3712,5885,139.499857,81.82176999,2
8598,-15844,-4740,4096,140.1075191,80.74783718,2
8631,-13968,-3116,4196,139.9271213,80.10387872,2
8664,-14120,-2560,1367,140.4386037,79.43816238,2
8697,-14980,-2488,1000,140.0163396,79.34713603,2
8733,-14656,-2776,-722,140.025233,79.34872753,2
8766,-15072,-3028,-1711,140.0214091,79.45411475,2
8798,-15284,-3160,-1803,139.7175293,79.84759666,2
8831,-15068,-3212,-2437,139.7732224,80.23450506,2
8865,-15280,-3652,-1890,139.9375294,80.78064613,2
8897,-15372,-3700,-1017,139.8763931,81.64783105,2
8931,-15080,-3608,-952,140.070404,82.63362916,2
8964,-15100,-3236,-904,139.9649932,83.80222176,2
8998,-14928,-2844,-1393,139.541024,84.94062281,2
9032,-14896,-3000,-1656,138.9377149,86.70522663,2
9064,-15348,-3484,-2225,137.7190653,88.26273313,2
9097,-15156,-3980,-2052,136.6112626,89.8866926,2
9132,-15072,-3808,-1144,136.362866,91.59121887,2
9165,-15528,-3952,-1403,135.6562725,93.87366239,2
9197,-14996,-3712,-1786,135.9066503,95.66434022,2
9235,-14884,-3900,-1216,134.2165266,97.83410409,2
9265,-15468,-3864,-946,134.2816259,99.98417311,2
9297,-15008,-3628,-1053,132.3535531,102.6195294,2
9331,-15208,-3832,-1173,132.7066469,104.6914534,2
9363,-15176,-3916,-1120,126.5657491,108.6658205,2
9397,-15020,-3840,-1063,128.4169516,112.8437967,2
9436,-15220,-3848,-733,127.3413533,114.6134297,2
9465,-15120,-3520,-1122,121.1222184,124.2100143,2
9497,-15276,-3760,-1405,118.1680796,129.3104452,2
9533,-15040,-3860,-1311,118.7463814,134.1555697,2
9565,-15232,-4080,-1067,119.2245492,135.5233465,2
9597,-15100,-3780,-1199,123.3650436,137.5401363,2
9632,-15152,-3748,-1092,137.3980114,129.7918111,2
9667,-15156,-3740,-1171,120.0943555,147.1864077,2
9698,-15248,-3960,-1259,126.3929248,135.8328915,2
9731,-15104,-3840,-1152,120.5839067,151.7289919,2
9764,-15156,-3792,-1025,123.1569289,151.8616432,2
9796,-15232,-3728,-1185,134.4289844,140.0626637,2
9833,-15168,-3740,-1109,127.3919868,156.5571083,2
9867,-15108,-3808,-1119,134.9612085,146.4397757,2
9898,-14968,-3804,-1079,138.0041919,147.041115,2
9934,-15084,-3776,-993,130.4438364,152.9358435,2
9964,-15136,-3644,-963,135.4908341,160.8238162,2
9997,-15188,-3668,-1079,139.6131464,160.7906291,2
10033,-15252,-3748,-1054,139.3176515,160.7468911,2
10065,-15128,-3760,-972,149.2023819,160.5746797,2
10097,-15168,-3748,-995,153.927089,160.5735959,2
10133,-15100,-3660,-885,158.2657901,160.5761805,2
10169,-15044,-3772,-1158,154.1120045,160.5104291,2
10199,-15232,-3592,-1037,154.3467125,160.4378848,2
10233,-15244,-3704,-1072,154.5502353,160.4797644,2
10265,-15120,-3792,-1079,139.2693076,160.5155179,2
10299,-15236,-3656,-1098,145.5869528,160.4992498,2
10334,-15068,-3688,-1025,154.2999379,160.5883543,2
10367,-15172,-3836,-1046,154.3987476,160.5871014,2
10399,-15092,-3816,-1282,154.4309916,160.5929918,2
10470,-15236,-3552,-1107,141.1621632,160.6991798,2
10501,-15284,-3748,-1049,143.726706,160.7409822,2
