Time_Stamp,AccelYArmPronation,AccelXArmPronation,GyroXArmPronation,ElbowExtensionAngle,ShoulderFlexionAngle,Trimming_Id,
11496,-2992,2348,-89,146.167626032708,227.503890450069,135.578936993883,1
11528,-3508,2104,-2013,146.252100868762,227.436532123338,135.888837826117,1
11562,-4460,2064,631,145.989629954442,227.370067799832,136.161746169839,1
11594,-3672,1624,-3159,146.09844124079,227.286069913435,136.276476225117,1
11628,-3320,1972,-761,146.038995025852,227.308894066049,136.40856556523,1
11663,-2768,1464,-1965,145.960897570953,227.319317234589,136.429139358599,1
11695,-3116,1832,-1036,146.955389810658,227.905563977558,138.015247012494,1
11728,-2972,1616,-1620,146.906762062227,227.556573663799,137.718374975567,1
11762,-3388,1332,-669,146.812212403388,227.556170691995,137.409877504043,1
11795,-3640,1368,-1110,146.804920645194,227.46448641871,137.208221316742,1
11828,-3512,1760,-654,146.894666505778,227.462820181013,137.117296221927,1
11865,-3188,1668,-1310,146.996033162198,227.417650290556,137.044727763156,1
11896,-2960,2184,-1307,147.022047962175,227.455231155505,136.932557851552,1
11928,-2132,1848,-1516,147.189001806583,227.29601310107,136.83399063498,1
11961,-2496,2564,-1216,147.312669041938,227.29063930599,136.79618643547,1
11994,-2464,2668,-1363,148.096553665458,227.724226943797,138.229267790039,1
12028,-2844,1972,-1231,148.368059579981,227.998708551747,138.707184600396,1
12061,-2992,1544,-1668,148.53056534209,228.176434658641,138.920143524988,1
12097,-2856,1588,-1247,148.155725597039,227.843006913976,138.165995169379,1
12130,-3468,1492,-1464,148.39895901347,227.989178089598,138.550521485042,1
12161,-2932,1148,-695,148.59916899609,228.094006651054,138.787269161894,1
12195,-2472,1440,-1233,148.618185749097,228.100118441251,138.919984088809,1
12230,-2908,1392,-829,148.163850871318,227.364495746352,138.103395506725,1
12260,-3120,1584,-733,148.357865040773,227.585880010627,138.360762064782,1
