Time_Stamp,Accel,Gyro,Head,SpineShoulder,ShoulderRight,ElbowRight,WristRight,HandRight,SpineBase,TrimmingId
6067,6132;15700;-7752,1795;-4675;-7101,-0.1713271;0.1371009;1.296244,-0.1805554;-0.08031769;1.333709,-0.01574521;-0.1002747;1.361289,0.05157814;-0.3422095;1.299779,0.1251977;-0.3823505;1.10547,0.1451695;-0.3842683;1.036529,-0.1608372;-0.5443726;1.393731,2
6100,5716;14340;-7608,1742;-4321;-7182,-0.1709688;0.1369013;1.295899,-0.1803528;-0.0804196;1.333566,-0.01567351;-0.1003723;1.360875,0.05122708;-0.3426327;1.30047,0.1254028;-0.3867508;1.107902,0.1452251;-0.3893929;1.035233,-0.1608047;-0.544338;1.393607,2
6132,4232;14636;-8076,834;-3652;-7730,-0.1703018;0.1365572;1.295195,-0.1800414;-0.08048176;1.332896,-0.01545852;-0.1004934;1.361156,0.05110131;-0.3429439;1.30129,0.1258145;-0.3908748;1.108843,0.1453371;-0.3954241;1.038467,-0.1606802;-0.5442973;1.393213,2
6167,3788;15184;-7372,263;-3336;-7698,-0.1697647;0.136424;1.295057,-0.1797169;-0.080597;1.332826,-0.01483854;-0.1011702;1.362345,0.05090898;-0.3441553;1.304302,0.1264684;-0.3959328;1.112071,0.1465943;-0.4005736;1.042975,-0.1606412;-0.5443233;1.39323,2
6199,2884;14616;-7496,1334;-4071;-7542,-0.1688505;0.1361512;1.295032,-0.179456;-0.08064671;1.332831,-0.01470528;-0.1013131;1.362044,0.05041515;-0.3449629;1.306942,0.1263507;-0.4013236;1.115821,0.1480867;-0.4021039;1.043054,-0.1606326;-0.544327;1.393238,2
6231,2616;16076;-7920,2561;-4235;-6345,-0.167412;0.135885;1.294764,-0.1790953;-0.08073109;1.332675,-0.01381848;-0.1022547;1.362923,0.05063923;-0.346167;1.308467,0.1266614;-0.4026313;1.116004,0.147809;-0.4048822;1.045175,-0.1606337;-0.5443311;1.393232,2
6267,2152;15892;-8776,1484;-3463;-5894,-0.165855;0.135481;1.294267,-0.178632;-0.08074837;1.332323,-0.01371113;-0.1024388;1.362363,0.0504148;-0.3467153;1.309687,0.1268726;-0.4052851;1.117957,0.1481906;-0.4067608;1.046634,-0.1605893;-0.5443678;1.39322,2
6298,1736;16008;-8468,1177;-2906;-4948,-0.1641939;0.1351359;1.293569,-0.1776719;-0.0809058;1.331999,-0.01236869;-0.1037104;1.363096,0.05068351;-0.3482703;1.310599,0.1270525;-0.4053629;1.118417,0.1484912;-0.4091675;1.046569,-0.1605018;-0.5443966;1.393104,2
6334,1272;16508;-8248,889;-2131;-4245,-0.1620311;0.1347276;1.293553,-0.1769042;-0.08085024;1.331896,-0.0122488;-0.1038256;1.362693,0.05046421;-0.3487542;1.312118,0.1273541;-0.4087178;1.120365,0.1491623;-0.4120183;1.049304,-0.1604681;-0.5444043;1.39311,2
6367,884;15704;-8332,1138;-2113;-3435,-0.1599898;0.1345555;1.293352,-0.1761084;-0.08076892;1.331437,-0.01213705;-0.1038389;1.36229,0.05002941;-0.3491496;1.313463,0.1285326;-0.4093336;1.118253,0.1483631;-0.4115414;1.050704,-0.1604354;-0.5444072;1.393087,2
6399,588;15552;-8104,1122;-1991;-2838,-0.1574846;0.1341268;1.292742,-0.1749893;-0.08082321;1.331133,-0.01194003;-0.1039305;1.361844,0.04989329;-0.3493947;1.313539,0.128654;-0.4100944;1.118312,0.1480857;-0.4119541;1.048083,-0.1603588;-0.5444251;1.393077,2
6432,280;15020;-8844,3149;-1959;-2027,-0.1542695;0.1337717;1.291445,-0.1733603;-0.08079054;1.329805,-0.01156515;-0.104143;1.361232,0.04996815;-0.3497418;1.313391,0.1284607;-0.4107796;1.118439,0.1470841;-0.4130979;1.049799,-0.1601574;-0.5444166;1.392613,2
6464,-96;15460;-8720,2913;-1226;-2003,-0.1519975;0.1332962;1.290641,-0.1721172;-0.08087202;1.32927,-0.0111721;-0.1043175;1.360802,0.05005353;-0.3500199;1.313184,0.1284046;-0.4114061;1.11811,0.1475954;-0.4115991;1.046641,-0.1600182;-0.5444356;1.392443,2
6499,-624;14400;-8648,2061;-216;-1282,-0.1496463;0.1330631;1.290955,-0.1711323;-0.08080896;1.329322,-0.007066531;-0.1064202;1.36382,0.05139042;-0.3523733;1.313452,0.1285377;-0.4117011;1.118165,0.1495228;-0.4117996;1.047744,-0.1599229;-0.5445678;1.392585,2
6532,-264;14300;-8208,2718;-321;-1360,-0.1474761;0.1328757;1.290998,-0.170224;-0.08078992;1.329496,-0.00700745;-0.1063976;1.363399,0.05163142;-0.3523703;1.313465,0.128789;-0.4120244;1.118044,0.1499791;-0.4117953;1.044864,-0.159772;-0.5446075;1.392804,2
6569,424;13792;-7796,497;731;-1565,-0.1453805;0.1325433;1.291231,-0.1686623;-0.08063183;1.329724,-0.006928948;-0.1063999;1.363122,0.05187314;-0.3523495;1.313296,0.1318353;-0.411282;1.111665,0.1508037;-0.4106875;1.047374,-0.1593169;-0.5447173;1.393269,2
6599,20;14348;-7428,-67;776;-2052,-0.1432518;0.132422;1.291322,-0.1673407;-0.08042199;1.329888,-0.00316964;-0.1083506;1.36488,0.05293045;-0.3546348;1.313274,0.1319739;-0.411451;1.112297,0.1511947;-0.4107063;1.045535,-0.1586013;-0.5446938;1.393656,2
